"segment_ID","segment_n","abs_SPL_2000dB","abs_SPL_2000","abs_SPL_2000_std","abs_SPL_2000dB_std","birdID","TripID","Sex","x_lon","y_lat","State","Dist_cro_shelf","WindSp","relDir","pointID"
0,5,63.5397881272526,0.000903730218079668,-1.29887352064019,-1.43947056396297,"201302_Interp","201302.1","M",70.70949,-39.5737899929559,"Travel",1671.654,3.860834,18.7838,"201302.1.507"
0,6,64.6080648120056,0.00115575684045039,-0.65352896699211,-0.58035467384755,"201302_Interp","201302.1","M",70.70949,-39.5737899929559,"Travel",1671.654,3.860834,41.2162,"201302.1.507"
1,1,64.5496138338848,0.00114030590873396,-0.98713406453363,-1.08390974568168,"201302_Interp","201302.1","M",68.82337,-39.5091299929244,"Travel",1541.477,7.246285,47.72021,"201302.1.559"
0,2,65.3880411049362,0.00138313350509579,-0.289419789655895,-0.21901193426458,"201302_Interp","201302.1","M",68.82337,-39.5091299929244,"Travel",1541.477,7.246285,107.72021,"201302.1.559"
0,3,65.9183729763038,0.00156277800050777,0.226751068722914,0.3280633943986,"201302_Interp","201302.1","M",68.82337,-39.5091299929244,"Travel",1541.477,7.246285,167.72021,"201302.1.559"
0,4,67.1873981582938,0.00209314737401314,1.75065645837749,1.63715380740473,"201302_Interp","201302.1","M",68.82337,-39.5091299929244,"Travel",1541.477,7.246285,132.27979,"201302.1.559"
0,5,65.8808142030826,0.00154932101480791,0.188085236831098,0.289318828375797,"201302_Interp","201302.1","M",68.82337,-39.5091299929244,"Travel",1541.477,7.246285,72.27979,"201302.1.559"
0,6,64.6778602763137,0.00117448106362328,-0.888938909741976,-0.951614350232854,"201302_Interp","201302.1","M",68.82337,-39.5091299929244,"Travel",1541.477,7.246285,12.27979,"201302.1.559"
1,1,65.6999692640693,0.00148613039869517,0.079376879744155,0.158358637598925,"201302_Interp","201302.1","M",65.55769,-40.2260699932696,"Travel",1268.85,10.63165,56.37604,"201302.1.585"
0,2,64.5881724475156,0.00115047513313868,-1.14934255847533,-1.26485922151557,"201302_Interp","201302.1","M",65.55769,-40.2260699932696,"Travel",1268.85,10.63165,116.37604,"201302.1.585"
0,3,65.0359095561637,0.00127541331600526,-0.691986486287773,-0.691708228700641,"201302_Interp","201302.1","M",65.55769,-40.2260699932696,"Travel",1268.85,10.63165,176.37604,"201302.1.585"
0,4,66.8477223233711,0.00193567403127241,1.72500278333209,1.62760430149206,"201302_Interp","201302.1","M",65.55769,-40.2260699932696,"Travel",1268.85,10.63165,123.62396,"201302.1.585"
