"Sex","DateTime","state_manual","BirdID"
"F","01/03/2013 06:48","Travel",201314
"F","01/03/2013 07:03","Travel",201314
"F","01/03/2013 07:18","Travel",201314
"F","01/03/2013 07:33","Travel",201314
"F","01/03/2013 07:48","Search",201314
"F","01/03/2013 08:03","Search",201314
"F","01/03/2013 08:18","Travel",201314
"F","01/03/2013 08:33","Travel",201314
"F","01/03/2013 08:48","Search",201314
"F","01/03/2013 09:03","Rest",201314
"F","01/03/2013 09:18","Rest",201314
"F","01/03/2013 09:33","Rest",201314
"F","01/03/2013 09:48","Travel",201314
"F","01/03/2013 10:03","Travel",201314
"F","01/03/2013 10:18","Travel",201314
"F","01/03/2013 10:33","Travel",201314
"F","01/03/2013 10:48","Search",201314
"F","01/03/2013 11:03","Search",201314
"F","01/03/2013 11:18","Travel",201314
"F","01/03/2013 11:33","Travel",201314
"F","01/03/2013 11:48","Search",201314
"F","01/03/2013 12:03","Search",201314
"F","01/03/2013 12:18","Travel",201314
"F","01/03/2013 12:33","Travel",201314
"F","01/03/2013 12:48","Travel",201314
"F","01/03/2013 13:03","Travel",201314
"F","01/03/2013 13:18","Travel",201314
"F","01/03/2013 13:33","Travel",201314
"F","01/03/2013 13:48","Travel",201314
"F","01/03/2013 14:03","Travel",201314
"F","01/03/2013 14:18","Search",201314
"F","01/03/2013 14:33","Search",201314
"F","01/03/2013 14:48","Search",201314
"F","01/03/2013 15:03","Search",201314
"F","01/03/2013 15:18","Search",201314
"F","01/03/2013 15:33","Search",201314
"F","01/03/2013 15:48","Travel",201314
"F","01/03/2013 16:03","Travel",201314
"F","01/03/2013 16:18","Travel",201314
"F","01/03/2013 16:33","Travel",201314
"F","01/03/2013 16:48","Rest",201314
"F","01/03/2013 17:03","Rest",201314
"F","01/03/2013 17:18","Rest",201314
"F","01/03/2013 17:33","Rest",201314
"F","01/03/2013 17:48","Rest",201314
"F","01/03/2013 18:03","Rest",201314
"F","01/03/2013 18:18","Rest",201314
"F","01/03/2013 18:33","Rest",201314
"F","01/03/2013 18:48","Search",201314
"F","01/03/2013 19:03","Search",201314
"F","01/03/2013 19:18","Search",201314
"F","01/03/2013 19:33","Search",201314
"F","01/03/2013 19:48","Travel",201314
"F","01/03/2013 20:03","Travel",201314
"F","01/03/2013 20:18","Travel",201314
"F","01/03/2013 20:33","Travel",201314
"F","01/03/2013 20:48","Travel",201314
"F","01/03/2013 21:03","Travel",201314
"F","01/03/2013 21:18","Travel",201314
"F","01/03/2013 21:33","Travel",201314
"F","01/03/2013 21:48","Travel",201314
"F","01/03/2013 22:03","Travel",201314
"F","01/03/2013 22:18","Search",201314
"F","01/03/2013 22:33","Travel",201314
"F","01/03/2013 22:48","Travel",201314
"F","01/03/2013 23:03","Travel",201314
"F","01/03/2013 23:18","Travel",201314
