"segment_ID","segment_n","abs_SPL_2000dB","abs_SPL_2000dB_std","birdID","TripID","Sex","x_lon","y_lat","State","Dist_cro_shelf","Trip_state","WindSp","relDir","pointID"
0,2,76.7378222297883,0.959012792919385,"201301_Interp","201301.1","F",35.59416,-39.2671999928063,"Travel",1338.502,"out",8.714683,138.74709,"201301.1.281"
0,3,76.2601004324979,0.767597742095374,"201301_Interp","201301.1","F",35.59416,-39.2671999928063,"Travel",1338.502,"out",8.714683,131.25291,"201301.1.281"
0,4,72.1504831529562,-0.879056450559292,"201301_Interp","201301.1","F",35.59416,-39.2671999928063,"Travel",1338.502,"out",8.714683,41.25291,"201301.1.281"
1,1,70.6145108153261,-0.604835764440387,"201301_Interp","201301.1","F",30.67991,-38.3298799923412,"Travel",1747.058,"out",5.551853,169.3281,"201301.1.344"
0,2,69.6581763108458,-1.0639069418307,"201301_Interp","201301.1","F",30.67991,-38.3298799923412,"Travel",1747.058,"out",5.551853,100.6719,"201301.1.344"
0,3,73.1242740797295,0.599930947795696,"201301_Interp","201301.1","F",30.67991,-38.3298799923412,"Travel",1747.058,"out",5.551853,10.6719,"201301.1.344"
0,4,74.1010439573131,1.06881175847537,"201301_Interp","201301.1","F",30.67991,-38.3298799923412,"Travel",1747.058,"out",5.551853,79.3281,"201301.1.344"
1,1,73.9533543266062,1.18262375001414,"201301_Interp","201301.1","F",29.78878,-39.3621999928528,"Travel",1751.522,"out",4.74939,94.82348,"201301.1.382"
0,2,70.5835194112621,-0.536128601925572,"201301_Interp","201301.1","F",29.78878,-39.3621999928528,"Travel",1751.522,"out",4.74939,175.17652,"201301.1.382"
0,3,69.5435652186502,-1.06654737891739,"201301_Interp","201301.1","F",29.78878,-39.3621999928528,"Travel",1751.522,"out",4.74939,85.17652,"201301.1.382"
0,4,72.4582348418837,0.42005223082882,"201301_Interp","201301.1","F",29.78878,-39.3621999928528,"Travel",1751.522,"out",4.74939,4.82348,"201301.1.382"
1,1,73.9053364205468,1.24477977919189,"201301_Interp","201301.1","F",30.40035,-39.5509299929447,"Travel",1695.503,"out",4.78622,70.4844,"201301.1.392"
0,2,71.0391648357066,-0.291585650994221,"201301_Interp","201301.1","F",30.40035,-39.5509299929447,"Travel",1695.503,"out",4.78622,160.4844,"201301.1.392"
0,3,69.4347942554468,-1.15158283670223,"201301_Interp","201301.1","F",30.40035,-39.5509299929447,"Travel",1695.503,"out",4.78622,109.5156,"201301.1.392"
0,4,71.9532381146957,0.198388708504554,"201301_Interp","201301.1","F",30.40035,-39.5509299929447,"Travel",1695.503,"out",4.78622,19.5156,"201301.1.392"
1,1,71.1332661156017,0.0669052795275886,"201301_Interp","201301.1","F",31.88287,-40.1154699932168,"Travel",1554.278,"out",6.512449,52.28325,"201301.1.437"
0,2,73.4758737847842,1.23744634431401,"201301_Interp","201301.1","F",31.88287,-40.1154699932168,"Travel",1554.278,"out",6.512449,142.28325,"201301.1.437"
0,3,70.802664474197,-0.0982878949167737,"201301_Interp","201301.1","F",31.88287,-40.1154699932168,"Travel",1554.278,"out",6.512449,127.71675,"201301.1.437"
0,4,68.5856690670724,-1.20606372892483,"201301_Interp","201301.1","F",31.88287,-40.1154699932168,"Travel",1554.278,"out",6.512449,37.71675,"201301.1.437"
1,1,71.8412413690197,0.52905747736307,"201301_Interp","201301.1","F",35.19414,-39.6769099930059,"Travel",1339.811,"out",7.043583,49.31688,"201301.1.465"
0,2,72.8931333509331,0.996900421706804,"201301_Interp","201301.1","F",35.19414,-39.6769099930059,"Travel",1339.811,"out",7.043583,139.31688,"201301.1.465"
0,3,70.1281155100923,-0.232878025191201,"201301_Interp","201301.1","F",35.19414,-39.6769099930059,"Travel",1339.811,"out",7.043583,130.68312,"201301.1.465"
0,4,67.7443714837536,-1.29307987387867,"201301_Interp","201301.1","F",35.19414,-39.6769099930059,"Travel",1339.811,"out",7.043583,40.68312,"201301.1.465"
1,1,72.4529633040302,1.11261982715655,"201301_Interp","201301.1","F",35.95078,-39.166969992757,"Travel",1320.767,"mid",6.064996,14.54239,"201301.1.477"
0,2,71.4333928983631,0.568310914758413,"201301_Interp","201301.1","F",35.95078,-39.166969992757,"Travel",1320.767,"mid",6.064996,104.54239,"201301.1.477"
0,3,69.0094944498649,-0.725714020579322,"201301_Interp","201301.1","F",35.95078,-39.166969992757,"Travel",1320.767,"mid",6.064996,165.45761,"201301.1.477"
0,4,68.5796022390597,-0.955216721335629,"201301_Interp","201301.1","F",35.95078,-39.166969992757,"Travel",1320.767,"mid",6.064996,75.45761,"201301.1.477"
1,1,71.8153300876227,0.85869735616289,"201301_Interp","201301.1","F",37.09414,-39.0741099927113,"Travel",1250.37,"mid",5.721062,53.79898,"201301.1.486"
0,2,69.278501745335,-0.502487673710569,"201301_Interp","201301.1","F",37.09414,-39.0741099927113,"Travel",1250.37,"mid",5.721062,143.79898,"201301.1.486"
0,3,68.0443603688686,-1.16469044809244,"201301_Interp","201301.1","F",37.09414,-39.0741099927113,"Travel",1250.37,"mid",5.721062,126.20102,"201301.1.486"
0,4,71.7217418778676,0.808480765640119,"201301_Interp","201301.1","F",37.09414,-39.0741099927113,"Travel",1250.37,"mid",5.721062,36.20102,"201301.1.486"
1,1,71.5186029872534,1.16454727077069,"201301_Interp","201301.1","F",38.56128,-40.1226499932203,"Travel",1079.044,"mid",3.59811,47.19404,"201301.1.525"
0,2,70.5106418412184,0.459524215288937,"201301_Interp","201301.1","F",38.56128,-40.1226499932203,"Travel",1079.044,"mid",3.59811,137.19404,"201301.1.525"
0,3,68.3515835521575,-1.05063902652323,"201301_Interp","201301.1","F",38.56128,-40.1226499932203,"Travel",1079.044,"mid",3.59811,132.80596,"201301.1.525"
0,4,69.0338387981605,-0.573432459536394,"201301_Interp","201301.1","F",38.56128,-40.1226499932203,"Travel",1079.044,"mid",3.59811,42.80596,"201301.1.525"
1,1,70.4133501165518,0.72921792547523,"201301_Interp","201301.1","F",39.55517,-40.2534499932826,"Travel",1004.518,"mid",4.586434,54.31263,"201301.1.538"
0,2,70.7646413152907,0.985135255064176,"201301_Interp","201301.1","F",39.55517,-40.2534499932826,"Travel",1004.518,"mid",4.586434,144.31263,"201301.1.538"
0,3,68.3988766938328,-0.738335661750791,"201301_Interp","201301.1","F",39.55517,-40.2534499932826,"Travel",1004.518,"mid",4.586434,125.68737,"201301.1.538"
0,4,68.0726168637095,-0.976017518788605,"201301_Interp","201301.1","F",39.55517,-40.2534499932826,"Travel",1004.518,"mid",4.586434,35.68737,"201301.1.538"
1,1,69.9463661505632,0.52846134059647,"201301_Interp","201301.1","F",40.7339,-39.9917299931576,"Travel",950.1913,"mid",4.361089,52.08026,"201301.1.551"
0,2,70.7686245683898,1.10887029173517,"201301_Interp","201301.1","F",40.7339,-39.9917299931576,"Travel",950.1913,"mid",4.361089,142.08026,"201301.1.551"
0,3,68.4267975728875,-0.544159121816477,"201301_Interp","201301.1","F",40.7339,-39.9917299931576,"Travel",950.1913,"mid",4.361089,127.91974,"201301.1.551"
0,4,67.6490168727943,-1.09317251051518,"201301_Interp","201301.1","F",40.7339,-39.9917299931576,"Travel",950.1913,"mid",4.361089,37.91974,"201301.1.551"
1,1,69.1307686869637,1.19128399807239,"201301_Interp","201301.1","F",42.18901,-39.0129999926812,"Travel",950.7445,"mid",1.635829,17.78584,"201301.1.630"
0,2,68.2834957593404,0.453190997728522,"201301_Interp","201301.1","F",42.18901,-39.0129999926812,"Travel",950.7445,"mid",1.635829,107.78584,"201301.1.630"
0,3,66.943335073991,-0.714276047356005,"201301_Interp","201301.1","F",42.18901,-39.0129999926812,"Travel",950.7445,"mid",1.635829,162.21416,"201301.1.630"
0,4,66.6954725032022,-0.93019894844489,"201301_Interp","201301.1","F",42.18901,-39.0129999926812,"Travel",950.7445,"mid",1.635829,72.21416,"201301.1.630"
1,1,69.5823346351733,1.36265076853927,"201301_Interp","201301.1","F",44.01753,-38.4576799924052,"Travel",919.2101,"mid",6.287056,38.00584,"201301.1.645"
0,2,67.6710359188003,0.0950191149711386,"201301_Interp","201301.1","F",44.01753,-38.4576799924052,"Travel",919.2101,"mid",6.287056,128.00584,"201301.1.645"
